,page_number,type,text
293,17,paragraph,"We carry out annual employee training covering cybersecurity threat vectors such as phishing and malware. Our training programs make employees aware of our cybersecurity related policies, processes, and standards. Employees are also provided personalized tools and training based on their individual security performance in regular drills and we provide additional customized, role based training and awareness to targeted internal audiences."
294,17,paragraph,The key pillars of our security organization include:
295,17,paragraph,"Application Security: Build security into all aspects of the software development life cycle Security Operations: Manage potential security incidents and build automated responses to identified threats Training: Promote security focused culture through awareness training Cloud Security: Ensure all cloud systems are architected with security in mind Security Governance: Implement security policies, standards and processes, as well as identify, coordinate and track security risk"
296,17,other,17
297,18,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
298,18,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
299,18,header,Public Policy
300,18,paragraph,"We strive to make a meaningful and positive contribution to the countries and communities in which we operate. Through policy advocacy, support of the political process, collaborations with business coalitions and contributions to the education ecosystem, we aim to support public policy that is in the interests of global learners, our business, our employees, and other stakeholders."
301,18,paragraph,"Rising Higher Ed tuition has threatened affordability and access, leaving many students with onerous debt or unable to afford college altogether."
302,18,paragraph,40 million Americans owe more than 1.7 trillion in student loan debt
303,18,header,Policy Goal:
304,18,paragraph,Support a modernized student financial aid model Address the key drivers of student debt
305,18,paragraph,Demand for trained workers continues to increase but displaced workers need more affordable and shorter pathways from education to employment.
306,18,paragraph,"Amid the pandemic, workers with a high school degree or less have been displaced at nearly 3x the rate as those with a bachelors degree"
307,18,paragraph,Policy Goal:
308,18,paragraph,Invest in workforce programs providing access to relevant skills training Support workforce programs developed in partnership with employers Trade Associations : Chegg is a member of TechNet and Silicon Valley Leadership Group Lobbying: Cheggs lobbying activity can be accessed via the disclosure websites for the U.S. House of Representatives and the U.S. Senate
309,18,paragraph,"(1) fred.stlouisfed.org series SLOAS; Education Data Initiative, Student Loan Debt Statistics (2) Chegg Consumer Insights, Jan 2022 Quarterly Marketing Tracker: Chegg Services users in the past 3 months (College n438), Chegg services includes Chegg, Mathway, Easybib, CiteThisforMe, BibMe, Citation Machine., Busuu, Thinkful.; (3) nationalskillscoalition.org blog higher education workforce update workers without a college degree are disproportionately impacted by covid 19 job losses ; (4) www.bls.gov news.release hsgec.nr0.htm"
310,18,header,Education Affordability
311,18,header,Career Pathways Skills
312,18,paragraph,"Students are more diverse in age, race, and income than previous generations. Embracing technology can expand access and better serve the modern learner."
313,18,paragraph,"20% of Cheggs users family incomes are 20k, 55 are minorities, 46 are working"
314,18,header,Policy Goal:
315,18,paragraph,Support access to technology and quality broadband for online course delivery Improve digital literacy among faculty Develop models of support that address student needs beyond tuition
316,18,header,Transparency of Student Outcomes
317,18,paragraph,"Students and their families lack reliable, timely, and accurate information to make informed decisions about costs, outcomes, and value of a college education."
318,18,paragraph,Only 63% of U.S. high school graduates enroll in college
319,18,paragraph,Policy Goal:
320,18,paragraph,Support better data transparency in postsecondary education
321,18,header,Supporting Modern Learners
322,18,other,18
323,19,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
324,19,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
325,19,paragraph,"Chegg helps learners succeed by providing the type of help they need, when they need it, in the format they want to receive it. We focus on putting the student first and we believe we set the standard in how to support the modern learner. The challenges of the last few years have had a dramatic impact on all of us, particularly students, and Chegg is investing to be there with them on their entire journey."
326,19,header,Positive Learner Outcomes
327,19,paragraph,We strive to improve the overall return on investment in education by helping students learn more in less time and at a lower cost. We are extremely proud of our positive impact on learner outcomes.
328,19,paragraph,"(1) Source: Results reflect a Chegg online survey conducted among a random sample of U.S. Chegg Study and Chegg Study Pack customers that used Chegg Study or Chegg Study Pack in Q4 2021 and Q1 2022. Respondent base (n1357) among approximately 472,000 invites. Data shows top 2 box (Agree strongly agree). Sample size represents this population of customers within a margin of error of 2.66 at 95 confidence. Survey responses are not a guarantee of any particular results as individual experiences may vary and each respondent will be entered into a drawing to win 1 of 10 500 e gift cards. Survey fielded between Mar 16 21, 2022."
329,19,header,92% Learn Understand
331,19,paragraph,Say that Chegg helps them better understand the concepts they are studying in school. And 92 also say Chegg helps them learn their coursework.
332,19,header,93% More Efficient
334,19,paragraph,Say that they work more efficiently when they use Chegg to understand their coursework.
335,19,header,94% Better Grades
337,19,paragraph,Say they get better grades when they use Chegg to understand coursework.
338,19,header,94% Help when you need it
340,19,paragraph,Say that Chegg helps them figure it out if they get stuck or have a question when their instructor is not available
341,19,other,19
342,20,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
343,20,header,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
344,20,header,Access to Education
345,20,paragraph,"Serving Diverse Learners: Learners are evolving and so is Chegg. The modern learner looks very different than they once did. They are older, many have families, they are juggling work and school at the same time, so it comes as no surprise that they need more flexibility when it comes to their learning."
346,20,paragraph,"More Help, Less Cost: The rising cost of education is an increasing impediment for aspiring learners all over the world. We focus on improving the ROI on education by helping students learn more in less time at a lower cost."
347,20,paragraph,"Pathway agnostic : We have tailored our efforts to reach learners on different paths, including more at online schools and community colleges. Beyond core academics, we also serve professional learners seeking to add or enhance valuable skills, and we offer language learning through Busuu."
348,20,header,Serving Learners Holistically
349,20,paragraph,"Students have needs beyond traditional academic and skills support. The challenges of the last few years have both heightened the desire for more holistic help and highlighted the lack of trusted resources. We launched Chegg Life to support more of our students needs, and our initial areas of focus will be personal finance, soft skills, and mental health wellness."
350,20,paragraph,U.S. college students say they need help
350,20,paragraph,60% say they need help managing stress and mental health
351,20,paragraph,61% say they need help managing personal finances
353,20,paragraph,63% say they need help staying motivated to pursue goals
354,20,paragraph,60% say they need help figuring out how to pay for their education
355,20,paragraph,"(1) Source: Chegg Consumer Insights, Jan 2022 Quarterly Marketing Tracker: Chegg Services users in the past 3 months (College n438), Chegg services includes Chegg, Mathway, Easybib, CiteThisforMe, BibMe, Citation Machine., Busuu, Thinkful. (2) Chegg Consumer Insights Crux Global Needs Research, July Aug, 2020. U.S. College Students weighted base (n1159); (3) Source: HP Blind Customer Survey, October 2019, of Chegg Study subscribers in college self reporting purchase and use of Chegg Study for at least 2 months in 2018 2019 (n99)."
359,20,header,How were helping
360,20,paragraph,"89% of Chegg Study subscribers say Chegg Study helps them get homework done with less stress, and 77 say it builds confidence before an exam Chegg and Chegg.org support organizations focused on mental health through grant giving"
361,20,paragraph,"Chegg Life offers free resources our audience can trust such as articles, videos, newsletters, how tos:"
362,20,paragraph,Brain dump method before bed Learned to negotiate in my 30s Student debt collectors on social media
363,20,header,Cheggs U.S. learners are
364,20,paragraph,27% first generation in college 20% family income of 20k 55% minorities 62% female 23% 25yrs old 11% working full time 35% working part time
365,20,other,20
366,21,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
367,21,paragraph,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
368,21,paragraph,"Chegg strives to make the planet a better place. To do our part, we are focused on sustainable operations, and we are committed to finding ways to help reduce our environmental impact. We know that we owe it to our customers, employees, and society to use environmentally sound practices and to find ways to limit our contribution to global climate change."
369,21,paragraph,In order to protect the environment and contribute to a more sustainable future we commit to:
370,21,paragraph,Create environmental awareness with our employees Consider feedback from stakeholders to align on environmental priorities Engage with our partners and suppliers on environmental performance when appropriate Seek to make choices that help reduce our emissions and environmental impact over time Monitor and publicly disclose our Scope 1 and 2 carbon emissions Enhance and maintain the sustainability of our workplace
371,21,header,Climate Action
372,21,paragraph,"In 2021, we completed our first greenhouse gas emissions analysis using the Greenhouse Gas Protocol Corporate Accounting and Reporting Standard."
373,21,paragraph,We plan to measure and report this data each year and we plan to analyze our annual trends to understand emissions controls and determine a more formal climate strategy.
374,21,paragraph,We are starting the work necessary to collect data to measure Scope 3 (value chain) emissions and we look forward to sharing more in the future.
375,21,paragraph,"In 2020 and 2021 respectively, 4 and 17 of our calculated emissions associated with refrigerant leakage, 8 and 2 of our calculated emissions associated with heating, and 18 and 4 of our calculated emissions associated with electricity were estimated based on benchmark data because some of the actual facility based data was unavailable. Due to rounding, our total comprehensive carbon footprint is not always the sum of the subtotals disclosed. tCO2e metric tons of carbon dioxide equivalent"
376,21,paragraph,Source 2020 Emissions Scope 1 Natural Gas 172 tCO e 233 tCO e Diesel 3 tCO e 1 tCO e Oil 1 tCO e 0 tCO Stationary Combustion 176 tCO e 234 tCO Refrigerant Leakage 14 tCO e 21 tCO Scope 2 Purchased Electricity 521 tCO e 365 tCO Scope 12 710 tCO e 621 tCO 2021 Emissions
377,21,other,21
378,22,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
379,22,paragraph,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
380,22,paragraph,Chegg and Chegg.org address issues facing the modern learner. We support organizations whose initiatives benefit learners globally and our communities.
381,22,header,We focus on supporting:
382,22,other,Nonprofits who are tackling food insecurity
383,22,other,Communities in areas where our offices are located
384,22,other,Communities our ERGs work to support
385,22,other,Learner mental health
386,22,header,"2021 Corporate Giving, aligned by U.N. SDG"
387,22,other,2 Decent Work and Economic Growth
388,22,other,5 Reduced Inequalities
389,22,header,Chegg.org Partnering with Employee Resource Groups
390,22,other,Some examples from 2021 include:
391,22,paragraph,"During Pride Month in June, CheggPride hosted leadership from Rainbow Railroad for an AMA with employees, including employee matching donation campaign and donation in partnership with Chegg.org"
392,22,paragraph,"CheggHER and Chegg.org partnered to give 100,000 to the International Rescue Committee to support their Education in Emergencies program to provide safe spaces for children to continue their education and receive essential services provided by schools."
393,22,header,2021 Chegg.org Global Student Prize
394,22,paragraph,"Chegg.org at times works through our Impact Fund, which is run though the Tides Foundation"
395,22,other,9 Gender Equality
396,22,other,19 Zero Hunger
397,22,paragraph,"The Chegg.org Global Student Prize is a 100k award presented to an exceptional student, making a real impact on learning, the lives of their peers and on society beyond."
398,22,paragraph,"2021 Winner: Jeremiah Thoronka Jeremiah is a student from Sierra Leone, who invented a device that uses kinetic energy from traffic and pedestrians to generate clean power. Learn more about Jeremiah"
399,22,other,The fight against systemic racism
400,22,other,Nonprofits who support underrepresented youth
401,22,other,"Refugees, particularly women and children"
402,22,other,Quality Education
403,22,other,Good Health and Wellbeing
404,22,other,No Poverty
405,22,other,55
406,22,other,22
407,23,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
408,23,paragraph,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
409,23,paragraph,"Chegg has a commitment to strong corporate governance practices. Corporate governance is part of our culture and is founded on our daily commitment to living values and principles that recognize our ethical obligations to our employees, customers and shareholders."
410,23,header,"Board Independence and Diversity, 2021"
411,23,other,90 Independent
412,23,header,Board Experience
413,23,paragraph,"As a part of the director nomination process, the Governance and Sustainability Committee considers a variety of experiences, qualifications, attributes, and skills for our potential directors, including those outlined below. For each of the following categories, at least 40 of our current directors have direct experience or expertise:"
414,23,other,"Technology, digital, and social media or partnerships"
415,23,other,International operations
416,23,other,CEO or senior executive at a public company or large organization
417,23,other,high growth at 5B annual revenue
418,23,other,Risk management
419,23,other,Financial statements and accounting
420,23,paragraph,See our Director Experience and Qualification Summary Matrix and our 2022 Proxy for more details on our directors.
421,23,other,10
422,23,other,Management
423,23,other,50 Female 10 Black
424,23,other,Direct to consumer or subscription services
425,23,other,Technology and cybersecurity
426,23,other,"MA, debt and equity financings and other strategic transactions"
427,23,other,Education or non corporate (non profit)
428,23,other,"ESG, sustainability or diversity and inclusion"
429,23,other,80 White
430,23,other,50 Male
431,23,other,10
432,23,other,Lantinx
433,23,other,23
434,24,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
435,24,paragraph,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably
436,24,header,Strong Corporate Governance
437,24,paragraph,"We seek to adopt governance best practices, including those highlighted below, and we regularly engage with stakeholders to collect feedback. See our 2022 Proxy for more details, including details on our board structure, our directors experience and qualifications, strategy and risk oversight, and executive compensation, among other topics."
438,24,paragraph,"9 of 10 directors are independent, and our audit and compensation committees are made up independent directors Cheggs board is diverse. 50 of directors are women and 20 are from underrepresented ethnic groups Director details including tenure, age, gender, ethnicity can be found in the ESG Disclosures section of this report and in our 2022 Proxy Our board maintains oversight of material ESG issues , includingbut not limited tocybersecurity and Diversity, Equity, and Inclusion We believe our executive pay practices are well aligned with shareholder interests, including long term incentive compensation tied to financial targets Board members are not permitted to serve on more than four public company boards , including Chegg Annual performance evaluations for the board and committee performance facilitated by the Governance and Sustainability Committee and outside counsel Orientation and continuing education assists directors in developing and enhancing the skills and knowledge required for their service on the Board and assigned committees Executive Officers are required to hold equity equal to a multiple of base salary (CEO: 3x, others: 1x) Guidelines for employee political activities are outlined in our Code of Conduct"
439,24,paragraph,"Single share class Non management directors will meet in executive session at least semiannually to discuss, among other matters, the performance of the CEO"
440,24,paragraph,(1) See Oversight and Materiality sections of this report for more details. (2) Requirement must be completed within five years of the later of (i) the establishment of our guidelines in 2019 or (ii) the commencement of employment service or promotion into an executive position
441,24,other,24
442,25,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
443,25,header,Cheggs mission is Aligned with U.N. Sustainable Development Goals
444,25,paragraph,"The U.N. Sustainable Development Goals (SDGs) are an urgent call for action. Ending poverty and other deprivations must go hand in hand with strategies that improve health and education, reduce inequality, and spur economic growth all while tackling climate change and working to preserve our oceans and forests."
445,25,paragraph,"Cheggs mission of helping every student achieve their best, in school and beyond is naturally aligned with many of these goals. Our products and services strive to improve the overall return on investment in education by helping students learn more in less time and at a lower cost. We believe our business activities have the greatest influence on the following SDGs: Quality Education (4), Decent Work and Economic Growth (8), Reduced Inequalities (10), and Good Health and Well Being (3). In addition, Chegg.org, the impact, advocacy, and research arm of Chegg, addresses additional SDGs through its philanthropy and community work, including 2 Zero Hunger."
446,25,header,ESG Awards and Recognition
447,25,paragraph,We are pleased to share our recognition as a company committed to sustainability in our industry and we are honored to be included in this years SP Global Sustainable Yearbook .
448,25,paragraph,"In October 2021, Chegg received an ESG Risk Rating of 10.7 and was assessed by Sustainalytics to be at low risk of experiencing material financial impacts from ESG factors"
449,25,paragraph,"(1) Copyright 2022 Sustainalytics. All rights reserved. This slide contains information developed by Sustainalytics (www.sustainalytics.com). Such information and data are proprietary of Sustainalytics and or its third party suppliers (Third Party Data) and are provided for informational purposes only. They do not constitute an endorsement of any product or project, nor an investment advice and are not warranted to be complete, timely, accurate or suitable for a particular purpose. Their use is subject to conditions available at https: www.sustainalytics.com legal disclaimers."
450,25,other,25
451,26,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
452,26,header,ESG Disclosures
453,26,header,Focus on People
454,26,header,Metric Code
455,26,header,2021 2020 2019 Links
456,26,paragraph,"Number of Employees GRI 102 7 1,736 1,941 1,401 2021 10 K 2020 10 K 2019 10 K Percentage of Employees that are foreign nationals"
457,26,paragraph,Percentage of Employees located outside of U.S.
458,26,paragraph,"Training spend per Global Employee GRI 404 2 1,154 1,002 Investing in Training Total recordable incidents 1 0 1"
459,26,header,Metric Code SDG 2021 Links
460,26,paragraph,Employee Resource Groups Employee Training ESPP Open to all eligible employees that work 20 hours or more per week and 5 months out of the year
461,26,paragraph,"Pay Equity Chegg performs a yearly comprehensive analysis. When we identify differences in pay, we evaluate and take action whenever it is needed."
462,26,paragraph,"(1) Represents the of employees on a visa. 2020 data as of 11 30 20, 2021 data as of 12 31 21. (2) GRI and SASB reference codes"
463,26,paragraph,"GRI 404 2 Executive level coaching provided to all employees; annual training includes compliance, ethics, DI, insider trading, and security."
464,26,paragraph,"TC IM 330a.1 TC SI 330a.1 GRI 102 7 TC IM 330a.1 TC SI 330a.1 GRI 102 7 Self directed groups that celebrate different cultural events, bring in outside speakers and experts, and provide a vital sense of community 10 6 49 42 2021 10 K 2020 10 K Employee Resource Groups Training Programs ESPP Pay Equity"
465,26,other,26
466,27,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
467,27,header,ESG Disclosures
468,27,header,Focus on People Gender Diversity and Turnover
469,27,header,Metric Code SDG 2021
470,27,other,2020
471,27,header,Links
472,27,paragraph,Global Female Global Male 57 58 U.S. Female 50 50 U.S. Male 50 50 Israel Female 34 34 Israel Male 66 66 India Female 36 37 India Male 64 63 Global Director Above Female 40 37 Global Director Above Male 60 63 Global Manager Above Female 42 37 Global Manager Above Male 58 63 U.S. Director Above Female 42 40 U.S. Director Above Male 58 60 U.S. Manager Above Female 49 44 U.S. Manager Above Male 51 56 Global Technical Staff Female 26 26 Global Technical Staff Male 73 73
473,27,header,Metric Code 2021 2020 2019 Links
474,27,paragraph,Global Turnover Global Voluntary Turnover 20 5 21 Global Involuntary Turnover 6 2 3 Global Male Turnover 25 7 25 Global Female Turnover 26 6 22
475,27,paragraph,"(1) As of 11 30 20 for 2020 data, as of 12 31 21 for 2021 data. Data excludes part time on demand educators with no fixed schedules or hours. Manager above data excludes Program Managers. May not add to 100 due to rounding and employees choosing not to disclose. Technical Staff includes Analytics BI, Engineering, IT, and UX (excluding UX Research)."
476,27,paragraph,GRI 401 1 GRI 405 1 26 7 24 43 42 Diversity Snapshot Employee Retention
477,27,other,27
478,28,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
479,28,header,ESG Disclosures
480,28,header,Focus on People Ethnic Diversity EEO Data
481,28,header,Metric Code SDG 2021
482,28,other,2020
483,28,header,Links
484,28,paragraph,U.S.: AA Black U.S.: Asian 36 31 U.S.: Hispanic Latinx 6 6 U.S.: Native Hawaiian PI 1 1 U.S.: Two Other 3 4 U.S.: White 45 49 U.S. Director Above: AA Black 3 2 U.S. Director Above: Asian 30 31 U.S. Director Above: Latinx 5 2 U.S. Director Above: Two Other 2 1 U.S. Director Above: White 60 64 U.S. Manager Above: AA Black 3 3 U.S. Manager Above: Asian 36 34 U.S. Manager Above: Latinx 6 5 U.S. Manager Above: Two Other 2 1 U.S. Manager Above: White 49 56 U.S. Technical Staff: AA Black 3 3 U.S. Technical Staff: Asian 48 47 U.S. Technical Staff: Hispanic 5 5 U.S. Technical Staff: Two Other 1 1 U.S. Technical Staff: Native HI PI 1 1 U.S. Technical Staff: White 38 38
485,28,paragraph,"(1) As of 11 30 20 for 2020 data, as of 12 31 21 for 2021 data. Data excludes part time on demand educators with no fixed schedules or hours. Manager above data excludes Program Managers. May not add to 100 due to rounding and employees choosing not to disclose. Technical Staff includes Analytics BI, Engineering, IT, and UX (excluding UX Research)."
486,28,paragraph,GRI 405 1 66 Diversity Snapshot
487,28,other,28
488,29,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
489,29,header,ESG Disclosures
490,29,header,Focus on People Employee Engagement
491,29,header,Metric Employee Engagement Code 2021
492,29,paragraph,"Are your company's goals clear, and are you invested in them?"
493,29,paragraph,Are you satisfied with your work life balance? Yes 88 Does your manager seem to care about you as a person? Yes 93 Do you look forward to interacting with your coworkers? Yes 98 Are you typically excited about going to work each day? Yes 87 Do you approve of the job your executive team is doing at your company? Yes 93 Are you proud to be a part of your company? Yes 97 How confident are you about the future success of your company? Avg 89 100
494,29,paragraph,"(1) Results reflect responses from Employee Engagement survey conducted by Comparably. 543 employees participated, out of approximately 1,700 global employees invited to participate. Survey conducted over the period 11 30 20 to 3 18 22."
495,29,paragraph,TC IM 330a.2 TC SI 330a.2
496,29,paragraph,Yes 94
497,29,other,29
498,30,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
499,30,header,ESG Disclosures
500,30,header,Help Learners
501,30,header,Metric Learner Demographics
502,30,header,Code SDG 2021 2020 Links
503,30,paragraph,Chegg Services Subscribers SV ED 000a 7.8 million 6.6 million 10K Filing Minorities 55 53 First generation in college 27 29 Family income of 20k 20 26 Female 62 58 25 years old 23 28 Working Full Time 11 17 Working Part Time 35 30
504,30,header,Metric Learner Outcomes
505,30,header,2022 2021
506,30,paragraph,Students say that Chegg helps them better understand the concepts they are studying in school 92 92 Students say that Chegg helps them actually learn their coursework 92 92 Students say that they get better grades when they use Chegg to understand their coursework 94 94 Students say that Chegg helps them figure out if they get stuck or have a question when their instructor is not available 94 96 Students say that they work more efficiently when they use Chegg to understand their coursework 93 95
507,30,paragraph,"(1) 2020 : Hall Partners Annual Brand Tracker, October 2020 (College n1921). Chegg Platform users (College n1200). Chegg Platform includes overall Chegg brand, Chegg branded sub brands, and non Chegg branded sub brands. 2021 : Chegg Consumer Insights, Jan 2022 Quarterly Marketing Tracker. Chegg Services users in the past 3 months Jan 22 (College n438) (2) Results reflect a Chegg online survey conducted among a random sample of U.S. Chegg Study and Chegg Study Pack customers that used Chegg Study or Chegg Study Pack in Q4 2020 and Q1 2021 for 2021 data and in Q4 2021 and Q1 2022 for 2022 data. Respondent Base (2021 data n745, 2022 data n1357) among approximately 144,000 invites for 2021 data and 472,000 invites for 2022 data. Data shows top 2 box (Agree strongly agree). Sample size represents this population of customers within a margin of error of 3.6 at 95 confidence for 2021 data and margin of error of 2.66 at 95 confidence for 2022 data. Survey responses are not a guarantee of any particular results as individual experiences may vary. Survey fielded between April 23 April 25, 2021 for 2021 data and between March 16 March 21, 2022 for 2022 data. Each respondent will be entered into a drawing to win 1 o 10 500 e gift cards. (3) Income threshold from 2020 data was 25k, while income threshold from 2021 data was 20k"
508,30,other,30
509,31,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
510,31,header,ESG Disclosures
511,31,header,Metric 2021 Links
512,31,paragraph,"Accessibility We believe Chegg.com conforms to the International Edition of the Accessibility Conformance Report (VPAT) and the web accessibility standards Academic Integrity We believe the best way we can support academic integrity is to help fill the learning gaps for students, but we also do more to help"
513,31,header,Act Responsibly
514,31,header,Metric Code 2021 Links
515,31,paragraph,"Cybersecurity, Testing Auditing, Employee Training"
516,31,paragraph,"Data Privacy SV ED 230a.2 Cheggs Privacy Policy is meant to help users understand what information we collect, why we collect it, and the choices they have."
517,31,paragraph,"Data Breaches SV ED 230a.3 TC IM 230a.1 TC SI 230a.1 Political Contributions GRI 415 1 0 Political Contributions Responsible Marketing GRI 417 1 We work to ensure that our marketing is honest, accurate and in line with our values Advertising Guidelines GRI 417 1 We believe it is very important to ensure that our ad setup is brand safe for our audiences SV ED 230a.1 TC IM 230a.2 TC SI 230a.2"
518,31,paragraph,"(1) WCAG 2.1 Level AA, Section 508, EN 301 (EU) standards; (2) Chegg has not made any political contributions in each of the last three years (2019, 2020, 2021) though we do contribute to a variety of non profits, some of which may have advocacy objectives that align with the needs of the student audiences they reach. Chegg commits to continue to disclose political contributions"
519,31,paragraph,We are focused on building security into all aspects of the software development lifecycle and relevant technical processes.
520,31,paragraph,0 Incident Response Learner Centric Approach Academic Integrity Data Security Privacy Policy Responsible Marketing Advertising on Chegg
521,31,other,31
522,32,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
523,32,header,ESG Disclosures
524,32,header,Operate Sustainably
525,32,header,Metric Code SDG 2021
526,32,other,2020
527,32,header,Links
528,32,paragraph,GHG Scope 1 GRI 305 1 255 tCO e 190 tCO GHG Scope 2 GRI 305 2 365 tCO e 521 tCO GHG Scope 12 GRI 305 1 GRI 305 2 621 tCO e 710 tCO Total Energy Consumed (gigajoules)
529,32,header,Give Back
530,32,header,Metric U.N. SDGs 2021 2020 Links
531,32,paragraph,"Corporate Giving Research Advocacy Community Engagement GRI 302 1 8,355 GJ 8,599 GJ 1.4M 1.2M 2021 Giving Chegg.org seeks to address the issues facing the modern learner We empower and encourage employees to make a positive contribution to their communities Research Advocacy Chegg.org Community Partnerships Climate Action"
532,32,paragraph,"(1) In 2020 and 2021 respectively, 4 and 17 of our calculated emissions associated with refrigerant leakage, 8 and 2 of our calculated emissions associated with heating, and 18 and 4 of our calculated emissions associated with electricity were estimated based on benchmark data because some of the actual facility based data was unavailable. Due to rounding, our total comprehensive carbon footprint is not always the sum of the subtotals disclosed. tCO2e metric tons of carbon dioxide equivalent"
533,32,other,32
534,33,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
535,33,header,ESG Disclosures
536,33,header,Govern Effectively
537,33,header,Metric Code 2021 2020 Links
538,33,paragraph,"Total Board Members GRI 102 9 10 9 Board of Directors Percentage of Board Members that are Independent Average Board Age 53 52 2022 PROXY Average Board Member Tenure GRI 102 9 6yrs 6yrs 2022 PROXY Board Gender Diversity GRI 102 9, 405 1 Board Ethnic Diversity 80 White 10 Black 10 Latinx GRI 102 9 90 89 2022 PROXY 50 Female 50 Male 44 Female 56 Male 89 White 11 Black 0 Latinx Diversity Snapshot Diversity Snapshot"
539,33,other,33
540,34,header,Oversight Framework Materiality Highlights SDGs Awards Disclosures Overview Pillars
541,34,header,ESG Disclosures
542,34,header,Policies and Helpful Links
543,34,header,Topic and link Code
544,34,paragraph,"Code of Business Conduct and Ethics GRI 205 2 Freedom of Association Corporate Governance Guidelines Culture, Belonging Diversity Policy Human Rights Policy Responsible Marketing Policy Privacy Policy TC S1 220a.1, TC IM 220a.1 Anti Discrimination Whistleblower and Complaint Policy Audit Committee Charter Compensation Committee Charter Governance and Sustainability Committee Charter Honor Code Materiality Assessment GRI 103 1, 103 2"
545,34,paragraph,Please see our Policies and ESG Resources page on our Investor website for more information
546,34,other,34
